"term","package","description","title"
"median","stats","Get median of a vector","New Functions in Week 7"
"summary","base","Obtain summary statistics or detailed regression output",""
"min","base","Get minimum of a vector",""
"max","base","Get maximum of a vector",""
"range","base","Return range of values",""
"sd","stats","Get standard deviation of a vector",""
"var","stats","Calculate variance",""
"hist","graphics","Plot a simple histogram",""
"boxplot","graphics","Plot a simple box plot",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"seq","base","Create a sequence",""
"labs","GGPLOT2","Customise labels in GGPLOT2",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"sum","base","Get sum of numeric values or a vector",""
