"term","package","description","title"
"library","base","Load an R package","All Functions of Week 9"
"setwd","base","Set Working Directory",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"complete.cases","stats","Find Complete Cases",""
"with","base","evaluate expression in the context of a data frame",""
"c","base","Combine values/vectors into a vector",""
"mean","base","Get mean of a vector",""
"sd","stats","Get standard deviation of a vector",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"mutate","dplyr","Modify/create a column in a data frame",""
"cut","base","Convert Numeric to Factor",""
"prop.test","stats","Test of Equal or Given Proportions",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"ifelse","base","Return a or b depending on the value of test",""
"max","base","Get maximum of a vector",""
"median","stats","Get median of a vector",""
