"term","package","description","title"
"stat_ecdf","GGPLOT2","Compute empirical cumulative distribution","New Functions in Week 10"
"geom_segment","GGPLOT2","Generates a line segment or curve",""
"ecdf","stats","Compute an empirical cumulative distribution function",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"set.seed","base","Initialise a pseudorandom number generator.",""
"sample_n","dplyr","Sample a number of observations from a data frame",""
"sqrt","stats","Square root",""
"geom_bar","GGPLOT2","Generates a bar chart",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"theme","GGPLOT2","Set theme for GGPLOT2",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
