"term","package","description","title"
"setwd","base","Set Working Directory","All Functions of Week 8"
"library","base","Load an R package",""
"read_dta","haven","Read a .dta file (Stata data)",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of varaibles",""
"desc","dplyr","Arrange in descending order",""
"factor","base","Create a factor",""
"mutate","dplyr","Modify/create a column in a data frame",""
"recode","dplyr","Recode a variable",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"ordered","dplyr","Create an ordered factor",""
"cut","base","Convert Numeric to Factor",""
"c","base","Combine values/vectors into a vector",""
"ifelse","base","Return a or b depending on the value of test",""
"mean","base","Get mean of a vector",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"data.frame","base","Create a data.frame from vectors",""
"separate","dplyr","Separate a character column into multiple columns",""
"as.numeric","base","Coerce a vector to numeric",""
"as.character","base","Coerce a vector to character",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"summarise","dplyr","collapse the dataset to a summary statistic. Usually used with group_by()",""
"select","dplyr","Select columns from a tibble/data frame",""
"slice","dplyr","Subset rows using their positions",""
"n","dplyr","The number of observations in the current group.",""
"spread","tidyr","Spread a key-value pair across multiple columns",""
"summarize",NA,NA,""
"sum","base","Get sum of numeric values or a vector",""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"write.csv","utils","write a csv file to a data frame",""
"write_dta",NA,NA,""
"save","base","Writes an external representation of R objects to the specified file.",""
